index,country_or_territory_name,total_cases,new_cases,total_deaths,new_deaths,total_recovered,active_cases,serious_critical,total_cases_1m_pop,deaths_1m_pop,total_tests,date,tests_1m_pop
42,Czechia,6900,154,194,8,1559,5147,84,644,18,172123,2020-04-20,
43,Indonesia,6760,185,590,8,747,5423,0,25,2,43749,2020-04-20,
44,Serbia,6630,312,125,3,870,5635,108,759,14,41812,2020-04-20,
45,Australia,6625,13,71,0,4258,2296,49,260,3,431734,2020-04-20,
46,Philippines,6459,200,428,19,613,5418,1,59,4,59928,2020-04-20,
47,Belarus,6264,1485,51,4,514,5699,92,663,5,102556,2020-04-20,
48,Qatar,6015,567,9,1,555,5451,37,2088,3,64620,2020-04-20,
49,Ukraine,5710,261,151,10,359,5200,45,131,3,58093,2020-04-20,
50,Malaysia,5425,36,89,0,3295,2041,45,168,3,108216,2020-04-20,
51,Dominican Republic,4964,284,235,9,416,4313,128,458,22,57809,2020-04-20,
52,Panama,4467,194,126,6,165,4176,98,1035,29,19091,2020-04-20,
53,Colombia,3977,185,189,10,804,2984,98,78,4,62746,2020-04-20,
54,Finland,3868,85,98,4,2000,1770,67,698,18,59200,2020-04-20,
55,Luxembourg,3558,8,75,2,637,2846,32,5684,120,33798,2020-04-20,
56,Egypt,3333,189,250,11,821,2262,0,33,2,55000,2020-04-20,
57,South Africa,3300,142,58,4,1055,2187,36,56,10,121510,2020-04-20,
58,Morocco,3046,191,143,2,350,2553,1,83,4,16386,2020-04-20,
59,Argentina,3031,90,142,8,737,2152,123,67,3,34568,2020-04-20,
60,Bangladesh,2948,492,101,10,85,2762,1,18,6,26604,2020-04-20,
